"Início_do_EPU","Término_do_EPU","Duração_do_EPU"
2005-02-21,2005-02-25,5
2005-03-08,2005-03-12,5
2005-04-10,2005-04-16,7
2005-05-05,2005-05-21,17
2005-06-06,2005-06-18,13
2005-06-23,2005-07-04,12
2005-07-27,2005-08-07,12
2005-08-11,2005-08-18,8
2005-08-27,2005-08-31,5
2006-01-12,2006-01-16,5
2006-05-25,2006-05-31,7
2006-06-04,2006-06-11,8
2006-06-18,2006-06-24,7
2006-06-29,2006-07-09,11
2006-07-11,2006-07-15,5
2006-07-17,2006-07-28,12
2006-08-03,2006-08-16,14
2006-08-22,2006-08-26,5
2006-09-08,2006-09-15,8
2007-02-27,2007-03-03,5
2007-03-26,2007-04-03,9
2007-06-04,2007-06-15,12
2007-06-17,2007-06-24,8
2007-06-26,2007-07-10,15
2007-07-31,2007-08-04,5
2007-08-06,2007-08-11,6
2007-08-13,2007-08-20,8
2007-08-22,2007-08-27,6
2007-08-31,2007-09-16,17
2007-09-18,2007-09-24,7
2007-10-01,2007-10-13,13
2008-04-23,2008-04-29,7
2008-05-15,2008-05-29,15
2008-06-04,2008-06-14,11
2008-06-16,2008-06-21,6
2008-06-26,2008-07-10,15
2008-07-13,2008-07-24,12
2008-07-26,2008-08-02,8
2008-08-14,2008-08-21,8
2008-08-24,2008-08-29,6
2008-09-01,2008-09-06,6
2008-10-21,2008-10-26,6
2009-05-05,2009-05-09,5
2009-05-21,2009-05-27,7
2009-06-20,2009-06-24,5
2009-06-29,2009-07-03,5
2009-07-06,2009-07-10,5
2009-08-05,2009-08-10,6
2009-08-27,2009-09-04,9
2010-02-01,2010-02-05,5
2010-03-08,2010-03-13,6
2010-04-15,2010-04-23,9
2010-05-02,2010-05-07,6
2010-06-14,2010-06-20,7
2010-06-23,2010-07-12,20
2010-07-19,2010-07-23,5
2010-07-28,2010-08-01,5
2010-08-18,2010-09-04,18
2011-01-20,2011-01-29,10
2011-05-22,2011-05-26,5
2011-06-10,2011-07-02,23
2011-07-08,2011-07-21,14
2011-07-25,2011-07-29,5
2011-08-04,2011-08-08,5
2011-08-15,2011-08-19,5
2011-11-05,2011-11-11,7
2012-02-05,2012-02-09,5
2012-06-14,2012-06-18,5
2012-06-26,2012-07-06,11
2012-07-19,2012-07-29,11
2012-07-31,2012-08-04,5
2012-08-07,2012-08-14,8
2012-08-19,2012-08-25,7
2012-08-31,2012-09-12,13
2012-09-14,2012-09-20,7
2012-09-30,2012-10-10,11
2013-04-25,2013-05-04,10
2013-05-08,2013-05-16,9
2013-06-03,2013-06-15,13
2013-07-29,2013-08-13,16
2013-08-20,2013-08-25,6
2013-08-29,2013-09-03,6
2013-09-08,2013-09-16,9
2014-01-28,2014-02-01,5
2014-02-09,2014-02-13,5
2014-05-01,2014-05-08,8
2014-05-12,2014-05-16,5
2014-06-03,2014-06-07,5
2014-06-23,2014-06-29,7
2014-07-01,2014-07-07,7
2014-07-30,2014-08-04,6
2014-08-21,2014-08-26,6
2014-09-07,2014-09-15,9
2014-10-06,2014-10-19,14
2015-06-07,2015-06-11,5
2015-07-14,2015-07-18,5
2015-07-27,2015-08-19,24
2015-09-15,2015-09-19,5
2015-09-21,2015-09-25,5
2016-04-19,2016-04-25,7
2016-06-14,2016-06-18,5
2016-07-04,2016-07-15,12
2016-08-25,2016-08-30,6
2017-07-10,2017-07-14,5
2017-07-20,2017-07-26,7
2017-08-26,2017-08-30,5
2017-09-04,2017-09-28,25
2018-06-20,2018-07-08,19
2018-07-12,2018-07-23,12
2018-07-26,2018-07-30,5
2019-06-28,2019-07-03,6
2019-07-10,2019-07-14,5
2019-07-22,2019-07-26,5
2019-08-08,2019-08-12,5
2019-09-15,2019-09-20,6
2020-07-20,2020-07-25,6
2020-08-07,2020-08-14,8
2020-09-09,2020-09-14,6
2021-05-24,2021-05-28,5
2021-07-09,2021-07-15,7
2021-07-20,2021-07-27,8
2021-08-16,2021-08-26,11
