"data","VelocVento","DirVento"
2005-01-01,6.04166666666667,"SSE"
2005-01-02,6.125,"E"
2005-01-03,6.45833333333333,"NNE"
2005-01-04,8.16666666666667,"NNE"
2005-01-05,9,"NW"
2005-01-06,9.20833333333333,"NNW"
2005-01-07,6.625,"NNE"
2005-01-08,5.625,"NE"
2005-01-09,6.95833333333333,"E"
2005-01-10,7.70833333333333,"NW"
2005-01-11,3.375,"ESE"
2005-01-12,6.79166666666667,"SE"
2005-01-13,5.33333333333333,"ESE"
2005-01-14,5.16666666666667,"E"
2005-01-15,8.25,"NW"
2005-01-16,8.875,"NNW"
2005-01-17,4.04166666666667,"SE"
2005-01-18,2.875,"ESE"
2005-01-19,5.08333333333333,"NW"
2005-01-20,8.875,"NW"
2005-01-21,5.5,"WNW"
2005-01-22,3.70833333333333,"E"
2005-01-23,4.16666666666667,"NE"
2005-01-24,4.58333333333333,"NE"
2005-01-25,10.5833333333333,"WNW"
2005-01-26,8,"SE"
2005-01-27,8.58333333333333,"E"
2005-01-28,7,"ENE"
2005-01-29,6.58333333333333,"NE"
2005-01-30,7.29166666666667,"ESE"
2005-01-31,9.54166666666667,"ESE"
2005-02-01,9.41666666666667,"ESE"
2005-02-02,5.875,"SE"
2005-02-03,5.83333333333333,"SSE"
2005-02-04,6.08333333333333,"SE"
2005-02-05,5.79166666666667,"SE"
2005-02-06,8.41666666666667,"ESE"
2005-02-07,8.41666666666667,"E"
2005-02-08,8.95652173913044,"E"
2005-02-09,8,"ENE"
2005-02-10,6.33333333333333,"NE"
2005-02-11,8.20833333333333,"ESE"
2005-02-12,5.66666666666667,"NNE"
2005-02-13,4.04166666666667,"SE"
2005-02-14,5.83333333333333,"SSE"
2005-02-15,5.66666666666667,"SSE"
2005-02-16,5.25,"ESE"
2005-02-17,7.29166666666667,"NE"
2005-02-18,5.08333333333333,"NE"
2005-02-19,4.625,"SSE"
2005-02-20,5.875,"SE"
2005-02-21,5,"SSE"
2005-02-22,4.54166666666667,"NE"
2005-02-23,4.83333333333333,"S"
2005-02-24,4.41666666666667,"ESE"
2005-02-25,3.625,"ESE"
2005-02-26,7.70833333333333,"NW"
2005-02-27,8.08333333333333,"NW"
2005-02-28,5.91666666666667,"NW"
2005-03-01,6.58333333333333,"SE"
2005-03-02,7.625,"ESE"
2005-03-03,6.79166666666667,"E"
2005-03-04,6.375,"ESE"
2005-03-05,6.41666666666667,"SSE"
2005-03-06,5.125,"SE"
2005-03-07,5.95833333333333,"ESE"
2005-03-08,5.95833333333333,"NE"
2005-03-09,5,"E"
2005-03-10,3.33333333333333,"SE"
2005-03-11,3.45833333333333,"ENE"
2005-03-12,3.75,"ENE"
2005-03-13,6.58333333333333,"NE"
2005-03-14,9.83333333333333,"NW"
2005-03-15,6.375,"N"
2005-03-16,9.70833333333333,"NNW"
2005-03-17,5.375,"NNW"
2005-03-18,4.58333333333333,"NNE"
2005-03-19,5.16666666666667,"NNE"
2005-03-20,4.66666666666667,"E"
2005-03-21,4.79166666666667,"N"
2005-03-22,6.20833333333333,"NE"
2005-03-23,4.70833333333333,"NW"
2005-03-24,6,"S"
2005-03-25,6,"SE"
2005-03-26,4.125,"ESE"
2005-03-27,6.79166666666667,"E"
2005-03-28,5.75,"ESE"
2005-03-29,6.79166666666667,"ENE"
2005-03-30,4.95833333333333,"SE"
2005-03-31,4.375,"SE"
2005-04-01,5.16666666666667,"E"
2005-04-02,6.70833333333333,"NE"
2005-04-03,5.375,"NW"
2005-04-04,6.33333333333333,"SSE"
2005-04-05,6,"SE"
2005-04-06,5.91666666666667,"SE"
2005-04-07,6.70833333333333,"NE"
2005-04-08,4.66666666666667,"E"
2005-04-09,5.91666666666667,"E"
2005-04-10,4.83333333333333,"E"
2005-04-11,4.08333333333333,"NE"
2005-04-12,4.04166666666667,"SSE"
2005-04-13,6.125,"SSE"
2005-04-14,4.66666666666667,"ENE"
2005-04-15,5.125,"WNW"
2005-04-16,4.75,"SSE"
2005-04-17,5.54166666666667,"ESE"
2005-04-18,4.83333333333333,"E"
