"Início_do_EPU","Término_do_EPU","Duração_do_EPU"
2005-03-10,2005-03-12,3
2005-10-12,2005-10-14,3
2006-01-07,2006-01-11,5
2006-01-13,2006-01-16,4
2006-02-03,2006-02-06,4
2006-04-13,2006-04-15,3
2006-09-10,2006-09-15,6
2007-02-22,2007-02-24,3
2007-03-31,2007-04-03,4
2007-09-07,2007-09-09,3
2007-09-14,2007-09-16,3
2007-10-09,2007-10-13,5
2007-12-01,2007-12-04,4
2007-12-28,2007-12-31,4
2008-09-02,2008-09-04,3
2008-10-14,2008-10-16,3
2008-12-07,2008-12-10,4
2009-11-01,2009-11-04,4
2009-12-20,2009-12-24,5
2010-08-20,2010-08-27,8
2010-09-01,2010-09-04,4
2010-11-19,2010-11-21,3
2011-01-28,2011-01-30,3
2011-09-18,2011-09-20,3
2011-09-29,2011-10-01,3
2011-10-22,2011-10-24,3
2011-10-27,2011-10-29,3
2011-11-05,2011-11-11,7
2011-12-20,2011-12-23,4
2012-01-03,2012-01-05,3
2012-02-03,2012-02-08,6
2012-02-27,2012-03-01,4
2012-09-07,2012-09-09,3
2012-09-15,2012-09-19,5
2012-09-30,2012-10-03,4
2012-10-06,2012-10-10,5
2012-10-27,2012-10-31,5
2012-11-22,2012-11-24,3
2013-02-18,2013-02-20,3
2013-08-31,2013-09-02,3
2013-09-13,2013-09-15,3
2013-10-19,2013-10-21,3
2013-11-09,2013-11-11,3
2014-01-06,2014-01-10,5
2014-01-27,2014-02-01,6
2014-02-04,2014-02-14,11
2014-08-22,2014-08-24,3
2014-09-13,2014-09-15,3
2014-10-08,2014-10-14,7
2014-10-16,2014-10-19,4
2014-10-29,2014-10-31,3
2014-11-19,2014-11-21,3
2014-12-17,2014-12-19,3
2014-12-26,2014-12-28,3
2015-01-06,2015-01-09,4
2015-01-11,2015-01-20,10
2015-08-29,2015-08-31,3
2015-09-17,2015-09-20,4
2015-09-22,2015-09-24,3
2015-11-10,2015-11-12,3
2015-12-18,2015-12-21,4
2016-01-05,2016-01-08,4
2016-02-01,2016-02-03,3
2016-04-06,2016-04-10,5
2016-10-16,2016-10-20,5
2016-12-26,2016-12-29,4
2017-02-16,2017-02-20,5
2017-09-05,2017-09-17,13
2017-09-21,2017-09-23,3
2017-10-10,2017-10-14,5
2018-09-22,2018-09-24,3
2018-12-11,2018-12-21,11
2019-01-09,2019-01-12,4
2019-01-17,2019-01-19,3
2019-01-29,2019-02-02,5
2019-02-08,2019-02-10,3
2019-03-23,2019-03-25,3
2019-09-10,2019-09-12,3
2019-09-15,2019-09-18,4
2019-10-12,2019-10-14,3
2020-03-12,2020-03-14,3
2020-09-10,2020-09-14,5
2020-09-25,2020-09-27,3
2020-09-30,2020-10-02,3
2020-10-12,2020-10-14,3
2020-10-27,2020-10-29,3
2020-11-07,2020-11-09,3
2020-11-14,2020-11-16,3
2021-03-25,2021-03-27,3
2021-08-18,2021-08-21,4
2021-09-12,2021-09-14,3
2021-09-26,2021-09-29,4
2021-11-15,2021-11-17,3
